var;mod_code;mod_lib;mod_data;needs_pt
node_type;0;Zone d'arrêt;;t
node_type;1;Noeud routier;;f
opt_crit;0;Temps minimum;;f
day_type;7;Dimanche;{0};f
day_type;8;Jours ouvrés (lundi au vendredi);{1,2,3,4,5};f
day_type;9;Jours ouvrables (lundi au samedi);{1,2,3,4,5,6};f
day_type;0;Tous les jours;{0,1,2,3,4,5,6};f
day_type;2;Mardi;{2};f
day_type;3;Mercredi;{3};f
day_type;4;Jeudi;{4};f
day_type;5;Vendredi;{5};f
day_type;6;Samedi;{6};f
day_type;1;Lundi;{1};f
rep_meth;1;Alpha shapes;;f
rep_meth;2;Enveloppes concaves;;f
encoding;1;LATIN1;;f
encoding;2;UTF8;;f
encoding;3;UTF-8;;f
per_type;0;Tous les types de périodes;(1=1);f
per_type;1;Vacances scolaires zone A;dd IN (SELECT generate_series(start_date, end_date, '1 day'::interval)::date as date FROM tempus.holidays WHERE position('A' in name)>0);f
per_type;2;Vacances scolaires zone B;dd IN (SELECT generate_series(start_date, end_date, '1 day'::interval)::date as date FROM tempus.holidays WHERE position('B' in name)>0);f
per_type;3;Vacances scolaires zone C;dd IN (SELECT generate_series(start_date, end_date, '1 day'::interval)::date as date FROM tempus.holidays WHERE position('C' in name)>0);f
per_type;4;Période scolaire zone A;dd NOT IN (SELECT generate_series(start_date, end_date, '1 day'::interval)::date as date FROM tempus.holidays WHERE position('A' in name)>0);f
per_type;5;Période scolaire zone B;dd NOT IN (SELECT generate_series(start_date, end_date, '1 day'::interval)::date as date FROM tempus.holidays WHERE position('B' in name)>0);f
per_type;6;Période scolaire zone C;dd NOT IN (SELECT generate_series(start_date, end_date, '1 day'::interval)::date as date FROM tempus.holidays WHERE position('C' in name)>0);f
per_type;7;Jours fériés;(SELECT tempus.french_bank_holiday(dd))=True;f
